,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,py/dy,0,1,2,3,4,5,6,7,8,9
,2003,"506,355","523,401","525,715","527,334","528,135","526,922","525,286","524,028","524,398","525,299"
,2004,"480,050","493,070","495,085","496,567","495,742","494,617","493,394","494,209","494,474","494,963"
,2005,"455,789","465,613","468,527","469,315","468,759","468,854","469,325","469,657","469,924","470,247"
,2006,"435,463","444,948","447,339","448,132","449,258","449,690","450,132","450,381","450,613","450,897"
,2007,"412,568","421,727","423,784","426,268","426,906","427,628","427,798","428,167","428,508","428,702"
,2008,"358,077","368,232","371,028","372,629","373,621","374,184","374,676","375,088","375,373","375,581"
,2009,"331,134","339,626","342,425","344,039","344,907","345,444","345,992","346,289","346,526","346,643"
,2010,"335,912","344,003","347,446","348,884","349,732","350,413","350,995","351,261","351,348","351,504"
,2011,"335,734","345,937","349,418","350,984","351,855","352,433","352,714","352,832","353,042","353,139"
,2012,"343,571","353,458","356,888","358,301","359,261","359,697","359,936","360,176","360,428","360,555"
,2013,"353,759","362,939","365,808","367,449","368,239","368,712","369,149","369,478","369,569","369,689"
,2014,"366,614","376,316","379,547","380,903","381,677","382,117","382,482","382,618","382,851",
,2015,"375,859","385,587","388,341","389,593","390,324","390,781","390,897","391,039",,
,2016,"383,857","393,786","396,375","397,711","398,471","398,727","398,999",,,
,2017,"402,872","411,452","413,757","415,010","415,508","415,917",,,,
,2018,"403,817","412,526","415,052","415,987","416,731",,,,,
,2019,"375,596","384,352","386,576","387,908",,,,,,
,2020,"349,641","357,303","359,658",,,,,,,
,2021,"379,788","388,141",,,,,,,,
,2022,"381,103",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2003,1.033664129,1.004421084,1.003079615,1.001518961,0.997703239,0.996895176,0.997605114,1.000706069,1.001718161,
,2004,1.027122175,1.004086641,1.002993425,0.998338593,0.997730674,0.99752738,1.001651824,1.00053621,1.00098893,
,2005,1.021553833,1.006258416,1.001681867,0.998815295,1.000202663,1.001004577,1.000707399,1.0005685,1.000687345,
,2006,1.021781414,1.005373662,1.001772705,1.002512653,1.000961586,1.000982899,1.000553171,1.000515119,1.000630253,
,2007,1.022199977,1.004877563,1.005861477,1.001496711,1.001691239,1.000397542,1.000862557,1.000796418,1.000452734,
,2008,1.028359822,1.007593039,1.004315038,1.002662165,1.001506875,1.001314861,1.001099617,1.000759822,1.000554116,
,2009,1.025645207,1.008241419,1.004713441,1.00252297,1.001556941,1.001586364,1.000858401,1.000684399,1.000337637,
,2010,1.024086666,1.010008634,1.004138773,1.002430607,1.001947205,1.001660897,1.000757846,1.000247679,1.000444004,
,2011,1.03039013,1.010062526,1.004481738,1.002481595,1.001642722,1.000797315,1.000334549,1.000595184,1.000274755,
,2012,1.028777167,1.009704123,1.003959225,1.002679312,1.001213602,1.000664448,1.000666785,1.000699658,1.000352359,
,2013,1.02594987,1.00790491,1.00448596,1.002149958,1.001284492,1.001185207,1.000891239,1.000246293,1.000324703,
,2014,1.026463801,1.008585869,1.00357268,1.002032013,1.001152807,1.000955205,1.000355572,1.000608962,,
,2015,1.025882046,1.007142357,1.003223971,1.001876317,1.001170822,1.000296841,1.000363267,,,
,2016,1.025866403,1.006574637,1.003370546,1.001910935,1.000642456,1.000682171,,,,
,2017,1.021297087,1.005602112,1.003028348,1.001199971,1.000984337,,,,,
,2018,1.0215667,1.00612325,1.00225273,1.001788517,,,,,,
,2019,1.023312282,1.005786363,1.003445636,,,,,,,
,2020,1.021913906,1.006591045,,,,,,,,
,2021,1.021993849,,,,,,,,,
,,,,,,,,,,,
,f(k),1.025175944,1.00674988,1.003477756,1.001539382,1.000613038,1.000273452,1.000462328,1.000585215,1.000666637,
,σ^2(k),5.112221373,1.365583845,0.493776963,0.750302813,0.814811917,0.969653407,0.45173365,0.012050422,0.084429676,
